iter	Passed	Remaining
0	24	24814
1	29	14703
2	33	11290
3	38	9586
4	43	8576
5	48	8063
6	54	7779
7	60	7512
8	65	7248
9	75	7452
10	80	7227
11	86	7122
12	91	6930
13	95	6750
14	100	6622
15	106	6538
16	111	6440
17	116	6336
18	120	6236
19	127	6254
20	132	6191
21	137	6118
22	142	6068
23	147	6002
24	152	5931
25	156	5858
26	160	5796
27	165	5742
28	169	5674
29	173	5617
30	178	5585
31	183	5539
32	187	5492
33	191	5444
34	195	5402
35	200	5364
36	204	5328
37	209	5299
38	213	5268
39	218	5239
40	222	5201
41	226	5167
42	230	5130
43	234	5096
44	239	5078
45	243	5051
46	247	5026
47	252	5003
48	256	4980
49	260	4957
50	265	4940
51	269	4916
52	274	4900
53	278	4872
54	282	4845
55	285	4817
56	289	4788
57	293	4762
58	297	4743
59	301	4726
60	306	4711
61	309	4682
62	316	4710
63	322	4720
64	328	4729
65	335	4746
66	341	4749
67	346	4744
68	351	4738
69	354	4711
70	358	4694
71	364	4699
72	369	4694
73	375	4692
74	379	4679
75	382	4644
76	386	4632
77	390	4617
78	395	4613
79	398	4583
80	402	4570
81	407	4562
82	410	4535
83	413	4509
84	416	4486
85	420	4465
86	424	4455
87	430	4458
88	433	4440
89	438	4438
90	443	4430
91	446	4407
92	450	4392
93	453	4368
94	457	4356
95	460	4339
96	464	4323
97	468	4312
98	472	4298
99	476	4286
100	480	4273
101	484	4262
102	487	4249
103	490	4226
104	494	4210
105	497	4199
106	501	4189
107	505	4178
108	510	4169
109	514	4159
110	517	4140
111	519	4121
112	523	4111
113	526	4093
114	530	4084
115	535	4078
116	538	4063
117	541	4048
118	545	4039
119	549	4031
120	553	4024
121	557	4014
122	561	4006
123	565	3998
124	569	3988
125	573	3980
126	577	3970
127	582	3965
128	586	3958
129	590	3948
130	594	3941
131	598	3934
132	603	3933
133	614	3969
134	618	3962
135	622	3954
136	627	3953
137	631	3946
138	636	3940
139	640	3935
140	645	3931
141	649	3925
142	652	3912
143	657	3909
144	663	3909
145	667	3902
146	671	3895
147	675	3890
148	680	3885
149	684	3878
150	688	3871
151	694	3873
152	700	3876
153	704	3870
154	708	3864
155	713	3858
156	718	3857
157	721	3846
158	725	3839
159	730	3832
160	734	3826
161	739	3822
162	743	3816
163	747	3811
164	752	3806
165	756	3801
166	761	3797
167	765	3789
168	769	3783
169	773	3778
170	778	3774
171	783	3770
172	786	3761
173	791	3757
174	795	3751
175	800	3748
176	805	3745
177	809	3740
178	814	3735
179	819	3735
180	825	3733
181	828	3723
